Rank,Player,Team,Salary
493,Kyle Casey,PHO,525093
494,Deonte Burton,PHO,525093
495,Scottie Wilbekin,PHI,525093
496,J.P. Tokoto,PHI,525093
497,T.J. McConnell,PHI,525093
498,Christian Wood,PHI,525093
499,Keith Appling,ORL,525093
500,Melvin Ejim,ORL,525093
501,Travis Trice,NYK,525093
502,Darion Atkins,NYK,525093
503,Wesley Saunders,NYK,525093
504,Bryce Dejean-Jones,NOP,525093
505,Nick Wiggins,MIN,525093
506,Kleon Penn,MIN,525093
507,Charlie Westbrook,MIL,525093
508,Jon Horford,MIL,525093
509,Greg Whittington,MIA,525093
510,Corey Hawkins,MIA,525093
511,Josh Richardson,MIA,525093
512,Lazeric Jones,MEM,525093
513,Michael Holyfield,MEM,525093
514,Marcelo Huertas,LAL,525093
515,Michael Frazier,LAL,525093
516,Jonathan Holmes,LAL,525093
517,Robert Upshaw,LAL,525093
518,Branden Dawson,LAC,525093
519,C.J. Fair,IND,525093
520,Chris Walker,HOU,525093
521,Denzel Livingston,HOU,525093
522,Will Cummings,HOU,525093
523,Eric Griffin,DET,525093
524,Darrun Hilliard,DET,525093
525,Devin Sweetney,DEN,525093
526,Jamil Wilson,DAL,525093
527,Salah Mejri,DAL,525093
528,Brandon Ashley,DAL,525093
529,Jarrid Famous,DAL,525093
530,Jason Washburn,CHO,525093
531,Sam Thompson,CHO,525093
532,Aaron Harrison,CHO,525093
533,Coty Clarke,BOS,525093
534,Corey Walden,BOS,525093
535,Levi Randolph,BOS,525093
536,Malcolm Miller,BOS,525093
537,Terran Petteway,ATL,525093
538,Lamar Patterson,ATL,525093
539,Cristiano Felicio,CHI,525090
540,Ryan Boatright,BRK,525090
541,Maurice Ndour,DAL,525000
542,Gal Mekel,DAL,315760
543,Miroslav Raduljica,LAC,300000
544,Jamaal Franklin,MEM,163296
